,open,close,high,low,volume,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend
0,324.4,325.35,325.25,324.4,0,0.8500000000000227,,,0.8500000000000227,,,,,,
1,324.4,325.35,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,,,,,,
2,324.4,325.35,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,,,,,,
3,324.4,325.35,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,,,,,,
4,324.4,325.35,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,,,,,,
5,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,,,,,,
6,325.25,325.35,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,,,,,,
7,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.9214285714286105,327.58928571428584,322.06071428571414,327.58928571428584,322.06071428571414,327.58928571428584
8,325.25,325.35,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.912500000000037,327.8875000000001,322.41249999999985,327.58928571428584,322.41249999999985,327.58928571428584
9,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.917187500000038,327.5765625000001,322.0734374999999,327.5765625000001,322.41249999999985,327.5765625000001
10,325.25,325.35,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.9087890625000361,327.8763671875001,322.4236328124999,327.5765625000001,322.4236328124999,327.5765625000001
11,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.9139404296875373,327.5668212890626,322.0831787109374,327.5668212890626,322.4236328124999,327.5668212890626
12,325.25,325.35,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.905947875976598,327.86784362792974,322.4321563720702,327.5668212890626,322.4321563720702,327.5668212890626
13,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.9114543914795289,327.5593631744386,322.0906368255614,327.5593631744386,322.4321563720702,327.5593631744386
14,325.25,324.95,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.9037725925445906,327.86131777763376,322.4386822223662,327.5593631744386,322.4386822223662,327.5593631744386
15,324.4,325.35,325.5,324.4,0,1.1000000000000227,0.5500000000000114,0.5500000000000114,1.1000000000000227,0.9283010184765197,327.7349030554295,322.16509694457045,327.5593631744386,322.4386822223662,327.5593631744386
16,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.9310133911669605,327.61804017350084,322.03195982649913,327.5593631744386,322.4386822223662,327.5593631744386
17,325.25,324.95,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.9208867172710933,327.91266015181327,322.3873398481867,327.5593631744386,322.4386822223662,327.5593631744386
18,324.65,324.95,324.9,324.65,0,0.25,0.05000000000001137,0.30000000000001137,0.30000000000001137,0.843275877612208,327.3048276328366,322.2451723671634,327.3048276328366,322.4386822223662,327.3048276328366
19,324.4,325.35,325.5,324.4,0,1.1000000000000227,0.5500000000000114,0.5500000000000114,1.1000000000000227,0.8753663929106849,327.576099178732,322.32390082126796,327.3048276328366,322.4386822223662,327.3048276328366
20,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.8846955937968549,327.47908678139055,322.1709132186094,327.3048276328366,322.4386822223662,327.3048276328366
21,325.25,324.95,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.8803586445722509,327.79107593371674,322.5089240662832,327.3048276328366,322.5089240662832,327.3048276328366
22,324.65,324.95,324.9,324.65,0,0.25,0.05000000000001137,0.30000000000001137,0.30000000000001137,0.8078138140007209,327.19844144200215,322.3515585579978,327.19844144200215,322.5089240662832,327.19844144200215
23,324.4,325.35,325.5,324.4,0,1.1000000000000227,0.5500000000000114,0.5500000000000114,1.1000000000000227,0.8443370872506337,327.48301126175187,322.4169887382481,327.19844144200215,322.5089240662832,327.19844144200215
24,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.8575449513443102,327.3976348540329,322.2523651459671,327.19844144200215,322.5089240662832,327.19844144200215
25,325.25,324.95,325.5,324.8,0,0.6999999999999886,0.8500000000000227,0.1500000000000341,0.8500000000000227,0.8566018324262743,327.7198054972788,322.58019450272116,327.19844144200215,322.58019450272116,327.19844144200215
26,324.65,324.95,324.9,324.65,0,0.25,0.05000000000001137,0.30000000000001137,0.30000000000001137,0.7870266033729915,327.13607981011893,322.413920189881,327.13607981011893,322.58019450272116,327.13607981011893
27,324.4,325.35,325.5,324.4,0,1.1000000000000227,0.5500000000000114,0.5500000000000114,1.1000000000000227,0.8261482779513704,327.4284448338541,322.4715551661459,327.13607981011893,322.58019450272116,327.13607981011893
28,324.4,324.65,325.25,324.4,0,0.8500000000000227,0.10000000000002274,0.9500000000000455,0.9500000000000455,0.8416297432074548,327.34988922962236,322.3001107703776,327.13607981011893,322.58019450272116,327.13607981011893
