,open,high,low,close,volume
9436,323.4,323.4,322.4,322.7,0
9437,322.5,323.1,322.5,322.8,0
9438,322.8,323.35,322.8,323.25,0
9439,323.25,323.5,323.05,323.45,0
9440,323.25,323.5,323.15,323.4,0
9441,323.4,323.4,323.15,323.2,0
9442,323.2,323.45,323.0,323.4,0
9443,323.4,324.0,323.1,323.8,0
9444,323.75,323.95,323.15,323.5,0
9445,323.25,323.5,323.25,323.3,0
9446,323.4,323.7,323.2,323.5,0
9447,323.35,323.9,323.3,323.75,0
9448,323.75,323.9,323.5,323.7,0
9449,323.7,324.0,323.55,323.95,0
9450,324.4,325.5,324.4,324.95,0
9451,324.9,325.0,323.4,324.4,0
9452,324.4,324.4,323.55,323.65,0
9453,323.9,323.9,322.45,323.1,0
9454,323.0,323.6,322.8,323.45,0
9455,323.45,323.55,323.0,323.2,0
9456,323.2,323.4,321.75,322.8,0
9457,322.6,323.2,322.55,322.8,0
9458,322.8,323.95,322.65,323.75,0
9459,323.6,324.3,323.5,324.45,0
9460,324.2,324.75,323.5,323.8,0
9461,323.85,323.95,323.6,323.45,0
9462,323.65,323.9,323.15,323.3,0
9463,323.4,323.4,322.4,323.25,0
9464,323.25,323.5,323.05,323.2,0
9465,323.2,324.0,323.0,323.5,0
9466,323.25,323.9,323.2,323.75,0
9467,323.75,324.15,323.5,323.65,0
9468,324.4,325.25,324.4,325.35,0
9469,325.25,325.5,324.8,324.65,0
9470,324.65,324.9,324.65,324.95,0
9471,324.9,325.0,323.4,323.6,0
9472,323.5,324.0,323.4,324.0,0
9473,324.0,324.5,323.9,324.4,0
9474,324.4,324.4,324.0,324.0,0
9475,324.2,324.2,323.8,323.75,0
9476,323.9,324.0,323.55,323.65,0
9477,323.9,323.9,322.45,323.4,0
9478,323.4,323.4,322.9,323.0,0
9479,323.0,323.65,322.85,323.1,0
9480,323.0,323.25,322.8,323.1,0
9481,323.0,323.5,322.9,323.6,0
9482,323.6,323.6,323.3,323.45,0
9483,323.45,323.55,323.3,323.45,0
9484,323.3,323.5,323.0,323.0,0
9485,323.0,323.25,323.0,323.2,0
9486,323.2,323.4,323.2,323.05,0
9487,323.3,323.3,322.8,322.35,0
9488,322.5,322.6,321.75,322.8,0
9489,322.6,323.2,322.6,323.1,0
9490,323.1,323.1,322.85,322.8,0
9491,323.0,323.0,322.55,322.8,0
9492,322.8,322.9,322.65,322.95,0
9493,322.65,323.9,322.65,323.8,0
9494,323.8,323.95,323.45,323.75,0
9495,323.6,323.8,323.5,323.8,0
9496,323.5,323.9,323.5,323.75,0
9497,323.85,324.3,323.55,324.45,0
9498,324.2,324.75,324.05,324.3,0
9499,324.3,324.45,324.1,324.1,0
9500,324.1,324.1,323.5,323.8,0
9501,323.85,323.95,323.6,323.65,0
9502,323.65,323.9,323.65,323.65,0
9503,323.65,323.9,323.65,323.45,0
9504,323.65,323.9,323.15,323.5,0
9505,323.4,323.7,323.3,323.3,0
9506,323.35,323.45,323.2,323.3,0
9507,323.4,323.4,322.4,322.7,0
9508,322.5,323.1,322.5,322.8,0
9509,322.8,323.35,322.8,323.25,0
9510,323.25,323.5,323.05,323.45,0
9511,323.25,323.5,323.15,323.4,0
9512,323.4,323.4,323.15,323.2,0
9513,323.2,323.45,323.0,323.4,0
9514,323.4,324.0,323.1,323.8,0
9515,323.75,323.95,323.15,323.5,0
9516,323.25,323.5,323.25,323.3,0
9517,323.4,323.7,323.2,323.5,0
9518,323.35,323.9,323.3,323.75,0
9519,323.75,323.9,323.5,323.7,0
9520,323.7,324.0,323.55,323.95,0
9521,324.0,324.15,323.5,323.65,0
9522,324.4,325.5,324.4,324.95,0
9523,324.9,325.0,323.4,324.4,0
9524,324.4,324.4,323.55,323.65,0
9525,323.9,323.9,322.45,323.1,0
9526,323.0,323.6,322.8,323.45,0
9527,323.45,323.55,323.0,323.2,0
9528,323.2,323.4,321.75,322.8,0
9529,322.6,323.2,322.55,322.8,0
9530,322.8,323.95,322.65,323.75,0
9531,323.6,324.3,323.5,324.45,0
9532,324.2,324.75,323.5,323.8,0
9533,323.85,323.95,323.6,323.45,0
9534,323.65,323.9,323.15,323.3,0
9535,323.4,323.4,322.4,323.25,0
9536,323.25,323.5,323.05,323.2,0
9537,323.2,324.0,323.0,323.5,0
9538,323.25,323.9,323.2,323.75,0
9539,323.75,324.15,323.5,323.65,0
9540,324.4,325.25,324.4,325.35,0
9541,325.25,325.5,324.8,324.65,0
9542,324.65,324.9,324.65,324.95,0
9543,324.9,325.0,323.4,323.6,0
9544,323.5,324.0,323.4,324.0,0
9545,324.0,324.5,323.9,324.4,0
9546,324.4,324.4,324.0,324.0,0
9547,324.2,324.2,323.8,323.75,0
9548,323.9,324.0,323.55,323.65,0
9549,323.9,323.9,322.45,323.4,0
9550,323.4,323.4,322.9,323.0,0
9551,323.0,323.65,322.85,323.1,0
9552,323.0,323.25,322.8,323.1,0
9553,323.0,323.5,322.9,323.6,0
9554,323.6,323.6,323.3,323.45,0
9555,323.45,323.55,323.3,323.45,0
9556,323.3,323.5,323.0,323.0,0
9557,323.0,323.25,323.0,323.2,0
9558,323.2,323.4,323.2,323.05,0
9559,323.3,323.3,322.8,322.35,0
9560,322.5,322.6,321.75,322.8,0
9561,322.6,323.2,322.6,323.1,0
9562,323.1,323.1,322.85,322.8,0
9563,323.0,323.0,322.55,322.8,0
9564,322.8,322.9,322.65,322.95,0
9565,322.65,323.9,322.65,323.8,0
9566,323.8,323.95,323.45,323.75,0
9567,323.6,323.8,323.5,323.8,0
9568,323.5,323.9,323.5,323.75,0
9569,323.85,324.3,323.55,324.45,0
9570,324.2,324.75,324.05,324.3,0
9571,324.3,324.45,324.1,324.1,0
9572,324.1,324.1,323.5,323.8,0
9573,323.85,323.95,323.6,323.65,0
9574,323.65,323.9,323.65,323.65,0
9575,323.65,323.9,323.65,323.45,0
9576,323.65,323.9,323.15,323.5,0
9577,323.4,323.7,323.3,323.3,0
9578,323.35,323.45,323.2,323.3,0
9579,323.4,323.4,322.4,322.7,0
9580,322.5,323.1,322.5,322.8,0
9581,322.8,323.35,322.8,323.25,0
9582,323.25,323.5,323.05,323.45,0
9583,323.25,323.5,323.15,323.4,0
9584,323.4,323.4,323.15,323.2,0
9585,323.2,323.45,323.0,323.4,0
9586,323.4,324.0,323.1,323.8,0
9587,323.75,323.95,323.15,323.5,0
9588,323.25,323.5,323.25,323.3,0
9589,323.4,323.7,323.2,323.5,0
9590,323.35,323.9,323.3,323.75,0
9591,323.75,323.9,323.5,323.7,0
9592,323.7,324.0,323.55,323.95,0
9593,324.0,324.15,323.5,323.65,0
9594,324.4,325.5,324.4,324.95,0
9595,324.9,325.0,323.4,324.4,0
9596,324.4,324.4,323.55,323.65,0
9597,323.9,323.9,322.45,323.1,0
9598,323.0,323.6,322.8,323.45,0
9599,323.45,323.55,323.0,323.2,0
9600,323.2,323.4,321.75,322.8,0
9601,322.6,323.2,322.55,322.8,0
9602,322.8,323.95,322.65,323.75,0
9603,323.6,324.3,323.5,324.45,0
9604,324.2,324.75,323.5,323.8,0
9605,323.85,323.95,323.6,323.45,0
9606,323.65,323.9,323.15,323.3,0
9607,323.4,323.4,322.4,323.25,0
9608,323.25,323.5,323.05,323.2,0
9609,323.2,324.0,323.0,323.5,0
9610,323.25,323.9,323.2,323.75,0
9611,323.75,324.15,323.5,323.65,0
9612,324.4,325.25,324.4,325.35,0
9613,325.25,325.5,324.8,324.65,0
9614,324.65,324.9,324.65,324.95,0
9615,324.9,325.0,323.4,323.6,0
9616,323.5,324.0,323.4,324.0,0
9617,324.0,324.5,323.9,324.4,0
9618,324.4,324.4,324.0,324.0,0
9619,324.2,324.2,323.8,323.75,0
9620,323.9,324.0,323.55,323.65,0
9621,323.9,323.9,322.45,323.4,0
9622,323.4,323.4,322.9,323.0,0
9623,323.0,323.65,322.85,323.1,0
9624,323.0,323.25,322.8,323.1,0
9625,323.0,323.5,322.9,323.6,0
9626,323.6,323.6,323.3,323.45,0
9627,323.45,323.55,323.3,323.45,0
9628,323.3,323.5,323.0,323.0,0
9629,323.0,323.25,323.0,323.2,0
9630,323.2,323.4,323.2,323.05,0
9631,323.3,323.3,322.8,322.35,0
9632,322.5,322.6,321.75,322.8,0
9633,322.6,323.2,322.6,323.1,0
9634,323.1,323.1,322.85,322.8,0
9635,323.0,323.0,322.55,322.8,0
9636,322.8,322.9,322.65,322.95,0
9637,322.65,323.9,322.65,323.8,0
9638,323.8,323.95,323.45,323.75,0
9639,323.6,323.8,323.5,323.8,0
9640,323.5,323.9,323.5,323.75,0
9641,323.85,324.3,323.55,324.45,0
9642,324.2,324.75,324.05,324.3,0
9643,324.3,324.45,324.1,324.1,0
9644,324.1,324.1,323.5,323.8,0
9645,323.85,323.95,323.6,323.65,0
9646,323.65,323.9,323.65,323.65,0
9647,323.65,323.9,323.65,323.45,0
9648,323.65,323.9,323.15,323.5,0
9649,323.4,323.7,323.3,323.3,0
9650,323.35,323.45,323.2,323.3,0
9651,323.4,323.4,322.4,322.7,0
9652,322.5,323.1,322.5,322.8,0
9653,322.8,323.35,322.8,323.25,0
9654,323.25,323.5,323.05,323.45,0
9655,323.25,323.5,323.15,323.4,0
9656,323.4,323.4,323.15,323.2,0
9657,323.2,323.45,323.0,323.4,0
9658,323.4,324.0,323.1,323.8,0
9659,323.75,323.95,323.15,323.5,0
9660,323.25,323.5,323.25,323.3,0
9661,323.4,323.7,323.2,323.5,0
9662,323.35,323.9,323.3,323.75,0
9663,323.75,323.9,323.5,323.7,0
9664,323.7,324.0,323.55,323.95,0
9665,324.0,324.15,323.5,323.65,0
9666,324.4,325.5,324.4,324.95,0
9667,324.9,325.0,323.4,324.4,0
9668,324.4,324.4,323.55,323.65,0
9669,323.9,323.9,322.45,323.1,0
9670,323.0,323.6,322.8,323.45,0
9671,323.45,323.55,323.0,323.2,0
9672,323.2,323.4,321.75,322.8,0
9673,322.6,323.2,322.55,322.8,0
9674,322.8,323.95,322.65,323.75,0
9675,323.6,324.3,323.5,324.45,0
9676,324.2,324.75,323.5,323.8,0
9677,323.85,323.95,323.6,323.45,0
9678,323.65,323.9,323.15,323.3,0
9679,323.4,323.4,322.4,323.25,0
9680,323.25,323.5,323.05,323.2,0
9681,323.2,324.0,323.0,323.5,0
9682,323.25,323.9,323.2,323.75,0
9683,323.75,324.15,323.5,323.65,0
9684,324.4,325.25,324.4,325.35,0
9685,325.25,325.5,324.8,324.65,0
9686,324.65,324.9,324.65,324.95,0
9687,324.9,325.0,323.4,323.6,0
9688,323.5,324.0,323.4,324.0,0
9689,324.0,324.5,323.9,324.4,0
9690,324.4,324.4,324.0,324.0,0
9691,324.2,324.2,323.8,323.75,0
9692,323.9,324.0,323.55,323.65,0
9693,323.9,323.9,322.45,323.4,0
9694,323.4,323.4,322.9,323.0,0
9695,323.0,323.65,322.85,323.1,0
9696,323.0,323.25,322.8,323.1,0
9697,323.0,323.5,322.9,323.6,0
9698,323.6,323.6,323.3,323.45,0
9699,323.45,323.55,323.3,323.45,0
9700,323.3,323.5,323.0,323.0,0
9701,323.0,323.25,323.0,323.2,0
9702,323.2,323.4,323.2,323.05,0
9703,323.3,323.3,322.8,322.35,0
9704,322.5,322.6,321.75,322.8,0
9705,322.6,323.2,322.6,323.1,0
9706,323.1,323.1,322.85,322.8,0
9707,323.0,323.0,322.55,322.8,0
9708,322.8,322.9,322.65,322.95,0
9709,322.65,323.9,322.65,323.8,0
9710,323.8,323.95,323.45,323.75,0
9711,323.6,323.8,323.5,323.8,0
9712,323.5,323.9,323.5,323.75,0
9713,323.85,324.3,323.55,324.45,0
9714,324.2,324.75,324.05,324.3,0
9715,324.3,324.45,324.1,324.1,0
9716,324.1,324.1,323.5,323.8,0
9717,323.85,323.95,323.6,323.65,0
9718,323.65,323.9,323.65,323.65,0
9719,323.65,323.9,323.65,323.45,0
9720,323.65,323.9,323.15,323.5,0
9721,323.4,323.7,323.3,323.3,0
9722,323.35,323.45,323.2,323.3,0
9723,323.4,323.4,322.4,322.7,0
9724,322.5,323.1,322.5,322.8,0
9725,322.8,323.35,322.8,323.25,0
9726,323.25,323.5,323.05,323.45,0
9727,323.25,323.5,323.15,323.4,0
9728,323.4,323.4,323.15,323.2,0
9729,323.2,323.45,323.0,323.4,0
9730,323.4,324.0,323.1,323.8,0
9731,323.75,323.95,323.15,323.5,0
9732,323.25,323.5,323.25,323.3,0
9733,323.4,323.7,323.2,323.5,0
9734,323.35,323.9,323.3,323.75,0
9735,323.75,323.9,323.5,323.7,0
9736,323.7,324.0,323.55,323.95,0
9737,324.0,324.15,323.5,323.65,0
9738,324.4,325.5,324.4,324.95,0
9739,324.9,325.0,323.4,324.4,0
9740,324.4,324.4,323.55,323.65,0
9741,323.9,323.9,322.45,323.1,0
9742,323.0,323.6,322.8,323.45,0
9743,323.45,323.55,323.0,323.2,0
9744,323.2,323.4,321.75,322.8,0
9745,322.6,323.2,322.55,322.8,0
9746,322.8,323.95,322.65,323.75,0
9747,323.6,324.3,323.5,324.45,0
9748,324.2,324.75,323.5,323.8,0
9749,323.85,323.95,323.6,323.45,0
9750,323.65,323.9,323.15,323.3,0
9751,323.4,323.4,322.4,323.25,0
9752,323.25,323.5,323.05,323.2,0
9753,323.2,324.0,323.0,323.5,0
9754,323.25,323.9,323.2,323.75,0
9755,323.75,324.15,323.5,323.65,0
9756,324.4,325.25,324.4,325.35,0
9757,325.25,325.5,324.8,324.65,0
9758,324.65,324.9,324.65,324.95,0
9759,324.9,325.0,323.4,323.6,0
9760,323.5,324.0,323.4,324.0,0
9761,324.0,324.5,323.9,324.4,0
9762,324.4,324.4,324.0,324.0,0
9763,324.2,324.2,323.8,323.75,0
9764,323.9,324.0,323.55,323.65,0
9765,323.9,323.9,322.45,323.4,0
9766,323.4,323.4,322.9,323.0,0
9767,323.0,323.65,322.85,323.1,0
9768,323.0,323.25,322.8,323.1,0
9769,323.0,323.5,322.9,323.6,0
9770,323.6,323.6,323.3,323.45,0
9771,323.45,323.55,323.3,323.45,0
9772,323.3,323.5,323.0,323.0,0
9773,323.0,323.25,323.0,323.2,0
9774,323.2,323.4,323.2,323.05,0
9775,323.3,323.3,322.8,322.35,0
9776,322.5,322.6,321.75,322.8,0
9777,322.6,323.2,322.6,323.1,0
9778,323.1,323.1,322.85,322.8,0
9779,323.0,323.0,322.55,322.8,0
9780,322.8,322.9,322.65,322.95,0
9781,322.65,323.9,322.65,323.8,0
9782,323.8,323.95,323.45,323.75,0
9783,323.6,323.8,323.5,323.8,0
9784,323.5,323.9,323.5,323.75,0
9785,323.85,324.3,323.55,324.45,0
9786,324.2,324.75,324.05,324.3,0
9787,324.3,324.45,324.1,324.1,0
9788,324.1,324.1,323.5,323.8,0
9789,323.85,323.95,323.6,323.65,0
9790,323.65,323.9,323.65,323.65,0
9791,323.65,323.9,323.65,323.45,0
9792,323.65,323.9,323.15,323.5,0
9793,323.4,323.7,323.3,323.3,0
9794,323.35,323.45,323.2,323.3,0
9795,323.4,323.4,322.4,322.7,0
9796,322.5,323.1,322.5,322.8,0
9797,322.8,323.35,322.8,323.25,0
9798,323.25,323.5,323.05,323.45,0
9799,323.25,323.5,323.15,323.4,0
9800,323.4,323.4,323.15,323.2,0
9801,323.2,323.45,323.0,323.4,0
9802,323.4,324.0,323.1,323.8,0
9803,323.75,323.95,323.15,323.5,0
9804,323.25,323.5,323.25,323.3,0
9805,323.4,323.7,323.2,323.5,0
9806,323.35,323.9,323.3,323.75,0
9807,323.75,323.9,323.5,323.7,0
9808,323.7,324.0,323.55,323.95,0
9809,324.0,324.15,323.5,323.65,0
9810,324.4,325.5,324.4,324.95,0
9811,324.9,325.0,323.4,324.4,0
9812,324.4,324.4,323.55,323.65,0
9813,323.9,323.9,322.45,323.1,0
9814,323.0,323.6,322.8,323.45,0
9815,323.45,323.55,323.0,323.2,0
9816,323.2,323.4,321.75,322.8,0
9817,322.6,323.2,322.55,322.8,0
9818,322.8,323.95,322.65,323.75,0
9819,323.6,324.3,323.5,324.45,0
9820,324.2,324.75,323.5,323.8,0
9821,323.85,323.95,323.6,323.45,0
9822,323.65,323.9,323.15,323.3,0
9823,323.4,323.4,322.4,323.25,0
9824,323.25,323.5,323.05,323.2,0
9825,323.2,324.0,323.0,323.5,0
9826,323.25,323.9,323.2,323.75,0
9827,323.75,324.15,323.5,323.65,0
9828,324.4,325.25,324.4,325.35,0
9829,325.25,325.5,324.8,324.65,0
9830,324.65,324.9,324.65,324.95,0
9831,324.9,325.0,323.4,323.6,0
9832,323.5,324.0,323.4,324.0,0
9833,324.0,324.5,323.9,324.4,0
9834,324.4,324.4,324.0,324.0,0
9835,324.2,324.2,323.8,323.75,0
9836,323.9,324.0,323.55,323.65,0
9837,323.9,323.9,322.45,323.4,0
9838,323.4,323.4,322.9,323.0,0
9839,323.0,323.65,322.85,323.1,0
9840,323.0,323.25,322.8,323.1,0
9841,323.0,323.5,322.9,323.6,0
9842,323.6,323.6,323.3,323.45,0
9843,323.45,323.55,323.3,323.45,0
9844,323.3,323.5,323.0,323.0,0
9845,323.0,323.25,323.0,323.2,0
9846,323.2,323.4,323.2,323.05,0
