,isin,insertion_datetime,datetime,open,high,low,close,volume,open_interest,H-L,H-PC,L-PC,TR,ATR,Upper Basic,Lower Basic,Upper Band,Lower Band,SuperTrend
0,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:15:00,1652.0,1652.0,1645.0,1645.85,26504,26504,7.0,,,7.0,,,,,,
1,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:16:00,1645.85,1645.85,1644.6,1645.0,1337,1337,1.25,0.0,1.25,1.25,,,,,,
2,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:17:00,1645.0,1647.5,1645.0,1646.05,18311,18311,2.5,2.5,0.0,2.5,4.125,1675.125,1617.375,1675.125,1617.375,1675.125
3,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:18:00,1646.05,1647.7,1646.05,1647.6,258,258,1.650000000000091,1.650000000000091,0.0,1.650000000000091,3.3000000000000305,1669.9750000000001,1623.7749999999999,1669.9750000000001,1623.7749999999999,1669.9750000000001
4,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:19:00,1647.6,1647.95,1646.5,1647.95,813,813,1.4500000000000455,0.3500000000001364,1.099999999999909,1.4500000000000455,2.683333333333369,1666.0083333333334,1628.4416666666664,1666.0083333333334,1628.4416666666664,1666.0083333333334
5,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:20:00,1647.95,1649.0,1647.8,1648.9,386,386,1.2000000000000455,1.0499999999999545,0.15000000000009095,1.2000000000000455,2.1888888888889277,1663.7222222222226,1633.0777777777776,1663.7222222222226,1633.0777777777776,1663.7222222222226
6,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:21:00,1648.9,1650.0,1648.8,1649.7,854,854,1.2000000000000455,1.099999999999909,0.10000000000013642,1.2000000000000455,1.8592592592593002,1662.4148148148151,1636.385185185185,1662.4148148148151,1636.385185185185,1662.4148148148151
7,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:22:00,1649.7,1651.1,1649.5,1650.7,752,752,1.599999999999909,1.3999999999998636,0.20000000000004547,1.599999999999909,1.7728395061728364,1662.7098765432097,1637.8901234567902,1662.4148148148151,1637.8901234567902,1662.4148148148151
8,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:23:00,1650.7,1650.7,1649.9,1650.2,955,955,0.7999999999999545,0.0,0.7999999999999545,0.7999999999999545,1.4485596707818758,1660.4399176954732,1640.1600823045271,1660.4399176954732,1640.1600823045271,1660.4399176954732
9,INE095A01012,2019-03-19 15:15:42,2018-01-01 09:24:00,1650.2,1650.4,1649.35,1650.05,216,216,1.050000000000182,0.20000000000004547,0.8500000000001364,1.050000000000182,1.3157064471879778,1659.0849451303159,1640.6650548696841,1659.0849451303159,1640.6650548696841,1659.0849451303159
